Type;SNR (dB);All Noises [-5,10] dB - %80;All Noises [-5,10] dB - %100 ;All Noises [0,15] dB - %80 ;Babble Noise [-5,10] dB - %80;Mixed Noise [-5,10] dB - %80;VacuumCleaner Noise [-5,10] dB - %80;Without Additional Noise;Latest KWS WhiteNoise Application;Trained_Without_WhiteNoise;Trained_With_WhiteNoise;Trained with all noise + white noise;[5,30] SNR - Updated KWS;[-5,30] SNR - Updated KWS;[5,30] SNR - Final KWS;[-5,30] SNR - Final KWS;[-5,10] SNR - Final KWS;[-5,20] SNR - Final KWS
raw;;93,45870809484872;92,6137912237667;94,03107113654949;92,9681112019624;93,29517579721995;92,83183428727172;93,89479422185882;93,86753883892068;93,84028345598256;93,84028345598256;93,45870809484872;93,75738300772376;93,00318037255792;93,2121762835075;93,36665152203544;92,23080417991822;93,27578373466606
AirConditioner;-5,0;75,82447533387844;75,00681384573453;71,89970019078768;69,93731261924229;72,58108476424094;64,67702371218316;48,35104933224312;77,29626601253747;48,296538566366856;48,43281548105751;75,22485690923956;76,09268514311677;74,89323034984099;75,17492049068605;75,92912312585189;74,52067242162653;76,32894139027715
AirConditioner;0,0;86,53584082856365;85,44562551103843;84,62796402289452;83,31970564186427;84,92777323521395;79,72199509403107;70,40065412919051;86,04524393567729;72,98991550831289;71,87244480784956;85,88171163804851;86,54248069059518;85,50658791458427;85,93366651522035;86,2062698773285;84,47978191731032;86,10631531122218
AirConditioner;5,0;90,78768056691196;89,8337421640774;90,26982829108748;88,60724993186155;89,97001907876806;87,70782229490325;83,59225947124557;90,78768056691196;85,33660397928591;83,86481330062688;89,80648678113927;90,52248977737392;89,51385733757384;90,28623353021356;90,18627896410725;89,2412539754657;90,54975011358474
AirConditioner;10,0;92,259471245571;91,632597437994;92,69555737258108;91,68710820387028;91,76887435268466;90,21531752521122;89,09784682474789;93,02262196783865;90,35159443990187;89,23412373943854;92,39574816026165;92,62153566560654;91,5765561108587;92,10358927760107;92,33984552476149;90,97682871422082;92,4216265333939
AirConditioner;15,0;93,29517579721995;92,58653584082856;93,26792041428182;92,28672662850911;92,7228127555192;91,74161896974653;91,74161896974653;93,73126192423004;92,36849277732352;91,7143635868084;93,37694194603434;93,30304407087688;92,4216265333939;92,7305770104498;93,26669695592912;91,94911403907317;93,24852339845525
AirConditioner;20,0;93,4314527119106;92,83183428727172;93,7857726901063;92,7228127555192;93,04987735077678;92,20496047969476;93,18615426546744;93,86753883892068;93,18615426546744;93,32243118015808;93,21340964840556;93,71194911403909;92,72149023171283;93,0940481599273;93,30304407087688;92,29441163107678;93,33939118582462
AirConditioner;25,0;93,48596347778684;92,66830198964296;93,84028345598256;92,91360043608611;93,13164349959116;92,5320250749523;93,56772962660123;94,0583265194876;93,513218860725;93,2406650313437;93,4314527119106;93,67560199909131;93,0213539300318;93,23034984098138;93,48477964561565;92,26715129486595;93,30304407087688
AirConditioner;30,0;93,29517579721995;92,77732352139547;93,73126192423004;92,94085581902426;93,21340964840556;92,91360043608611;93,9765603706732;94,03107113654949;93,86753883892068;93,48596347778684;93,513218860725;93,75738300772376;92,98500681508403;93,139482053612;93,430258973194;92,26715129486595;93,35756474329851
AirportAnnouncements;-5,0;62,68738075769964;64,07740528754428;59,25320250749523;65,41291905151267;65,73998364677024;50,58599073316981;34,85963477786863;64,70427909512128;36,38593622240393;36,24965930771328;63,45053147996729;63,94366197183099;63,21671967287597;62,89868241708314;63,63471149477511;61,47205815538393;63,51658337119491
